Gründe für den Einsatz eines DB-Systems: Vermeiden von _.	Redundanz, / Inkonsistenz, / beschränkte Zugriffsmöglichkeit, / Probleme bei Mehrbenutzerbetrieb, / Datenverlust, / Integritätsverletzung, / Sicherheitsprobleme, / hohe Entwicklungskosten für Anwendungsprogramme
Abstraktionsebenen eines Datenbanksystems: _, _ und _.	Physische Ebene, logische Ebene, Sichten.
DB-System garantiert _ und _ Datenunabhängigkeit.	physische, logische
Datenmodellierung: _ -> _ -> _	Reale Welt -> konzeptuelles (ER) Schema -> Relationales/XML/Netzwerk/OO Schema
ER Form für Entity	Rechteck
ER Form für Relationship	Raute
ER Form für Attribut	Oval
Abstraktionsebenen eines Datenbankentwurfs	 / 1. Konzeptuelle Ebene / 2. Implementationsebene / 3. Physische Ebene
Phasen des Datenbankentwurfs	Anforderungsanalyse – (Anforderungsspezifikation) → / Konzeptueller Entwurf – (Informationsstruktur) → / Implementationsentwurf – (logische Datenbankstruktur) → / Physischer Entwurf – (physische Datenbankstruktur)
Anforderungsanalyse Teile	 / 1. Identifikation von Organisationseinheiten / 2. Identifikation der zu unterstützenden Aufgaben / 3. Anforderungs-Sammelplan / 4. Anforderungs-Sammlung / 5. Filterung / 6. Satzklassifikation / 7. Formalisierung
ER-Schreibweise für Schlüssel	Text ist unterstrichen
ER-Schreibweise für Rolle	Text steht an Verbindung
Eine 1:N Funktionalität bildet _ Objekt(e) auf _ Objekt(e) ab	1, N
Eine N:1 Funktionalität bildet _ Objekt(e) auf _ Objekt(e) ab	N, 1
Wenn gilt: R: E₁ × … × Ek → En falls _	En die Funktionalität 1 hat
Definition (min, max)-Notation	Für jedes ei ∈ Ei gibt es / • Mindestens mini Tupel der Art (…, ei, …) ∈ R und / • Höchstens maxi viele Tupel der Art (…, ei, …) ∈ R (genau umgekehrt wie bei Funktionalitäten)
ER-Schreibweise für Generalisierung	Sechseck mit "is-a"
