Arterielle Hypertonieformen	primäre Hypertonie (ohne erkennbare Ursachen, ca 90%), sekundäre Hypertonie (Folge anderer Erkrankung, z.B. Nierenerkrankung, hormonelle Erkrankung, Gefäßerkrankung, ca 10%)
Anonyme Informationen	Infos, die sich nicht auf identifizierbare Person beziehen/ Daten, die so anonymisiert wurden, dass Person nicht mehr identifiziert werden kann
Krankheitsverlauf Eigenschaften: Remission	vorübergehendes Verschwinden od. Rückgang der Krankheitserscheinung
Allergisches Asthma	allergische Reaktion auf Allergene mit genetischer Disposition
2-tier-architecture	Trennung in Präsentation und Backend (auf Server)
Best of Breed - Vorteile	Flexibilität, stark an Anforderungen angepasst
Nenne Beispiele pathologisch verringerter Immunabwehr.	Angeborene/erworbene Immundefekte
Patienten- und Sozialgeheimnis	Datenschutz und Schweigepflicht sind gleichrangige, voneinand. unabhängige Pflichten, durch verschiedene Gesetze geregelt
Embolie	Gefäßverschluss durch Verschleppung von nicht löslichen Material
Funktionsweise Hormontherapie	Ausschaltung körpereigener Hormone hemmt die Ausbreitung hormonabhängiger Tumore
Herzinfarkt - Theraphie - Thrombektomie	Entfernung von Blutgerinsel durch Absaugen oder Zerkleinern
Voraussetzungen Stadium I TNM-Klassifikation	T1/T2, N0, M0
Wachstumsrate Benigner Tumor	• langsam wachsend / • Mitosefiguren selten
Unspezifisches Abwehrsystem	angeborene, natürliche Immunität, antigenunabhängig, standardisierter Ablauf
Stabile Angina pectoris Eigenschaften	• Verschwinden der Symptome in Ruhe / • Besserung der Symptome durch Nitroglyceringabe / • Reproduzierbare Beschwerden
Krankheitsursachen - Exogene Ursachen	physikalische Ursachen (Hitze, Kälte, Strahlen..), chemische Ursachen (Säure, Laugen, Gifte..), Microorganismen (Viren, Bakterien, Pilze..), Trauma, Ernährungsstörungen
Ursachen für Atrophie	Wegfall der funktionellen Belastung / Durchblutungsstörung/Durchblutungsminderung / Druckatrophie / Nervenschädigung / Verminderte Hormonwirkung / Hungeratrophie
instabile Angina pectoris	Zunahme Anfallsdauer, Anfallshäufigkeit oder Schmerzintensität, Auftreten v. Beschwerden in Ruhe, kein Ansprechen auf Nitroglycerin
Therapie gegen Bakterien	Antibiotika
Funktionsweise Chemotherapie	Verhinderung der Zellteilung von Tumorzellen
TNM-Klassifikation Bedeutung pM0	Keine Fernmetastasen
Koronare Herzkrankheit	Minderdurchblutung des Herzmuskels (Ischämie) aufgrund verengter Herzkrankgefäße durch Arteriosklerose
Definition Herzinfarkt	Tod von Herzmuskelgewebe: Arteriosklerose → Verschluss der Herzkranzarterie → Sauerstoffmangel im Herz
Stabile Angina pectoris	Verschwinden Symptome in Ruhe, Besserung Symptome durch Nytroglycerin, reproduzierbare Beschwerden
Arteriosklerose Def.	Arterienerkrankungen mit Umbau der Arterienwand, der zu Verdickung, Verhärtung und Elastitäsverlust des Gefäßes führt (Arterienverkalkung) (oft Artherosklerose genannt)
Bösartiger Tumor Rezidive	Häufig
Elektronische Gesundsheitskarte	Smartcard, PIN für Authentifizierung wird von Karteninhaber festgelegt, hybride Verschlüsselung von Gesundheitsdaten
chronisch kontinuierlich	gleichmäßig, langsam fortschreitend (z.B. Pilzerkrankung)
Modulare Systeme	ganzheitlich mit einer zentralen Datenbank, unabhängige Module für einzelne funktionale Einheiten
Herzinsuffizienz	Funktionsstörung Herz mit eingeschränkter körperlicher Belastbarkeit aufgrund ungenügender Blut- u. Sauerstoffversorgung von Organismus
Gutartiger Tumor Symptomzahl	Syomptomarm
Diabetis Mellitus	Stoffwechselkrankheit aufgrund unzureichener Insulinwirkung
Pathophysiologische Faktoren Arteriosklerose	Gefäßverengung (Stenosen), Gefäßverschluss (Ischämie), Gefäßwandläsionen
hybride Verschlüsselung	asymmetrische Verschlüsselung für symmetrische Schlüssel
Arten der Herzinsuffizienz	• Kompensierte Herzinsuffizienz / • Dekompensierte Herzinsuffizienz
